Marca,Modelo,Ano,Combustível,Lance,Taxa Adm,Valor_FIPE,BrandID
FIAT,PUNTO ESSENCE 1.6,10/11,R$ 13.300,2.360,null,21
CHEVROLET,CLASSIC LS,12/13,R$ 12.500,2.360,null,23
FIAT,UNO MILLE WAY ECON,13/13,R$ 10.900,2.360,null,21
NISSAN,LIVINA 16S,11/12,--,2.360,null,43
GM,PRISMA JOY,08/09,--,2.360,null,23
VW,FOX 1.0,09/10,R$ 11.000,2.360,null,59
FIAT,PALIO FIRE,15/16,R$ 17.000,2.360,null,21
SR,RANDON SR CA C ABERTA,04/04,--,5.400,null,0
FIAT,UNO ATTRACTIVE 1.4,11/11,--,2.300,null,21
IMP CHEVROLET,AGILE LTZ,13/13,R$ 18.100,2.300,null,23
FORD,KA SE 1.5 HA,15/15,R$ 14.000,2.300,null,22
RENAULT,SANDERO AUT 10 16V,11/12,--,2.300,null,48
VW,FOX 1.0,09/10,R$ 9.000,2.300,null,59
FIAT,UNO VIVACE 1.0,14/15,--,2.300,null,21
NISSAN,VERSA 10,19/20,--,2.300,null,43
VW,GOL 1.0,08/09,--,2.300,null,59
HONDA,CG 160 FAN,23/23,R$ 8.400,670,null,25
IMP FORD,FIESTA SD 1.6L SEA,15/15,R$ 3.000,2.300,null,22
IMP BMW,320I PG51,10/10,R$ 20.000,2.300,null,7
VW,POLO 1.6,07/07,--,2.300,null,59
RENAULT,SANDERO AUTH 10,19/20,--,2.300,null,48
FORD,KA FLEX,10/11,--,2.300,null,22
RENAULT,SCENIC PRI 20 16V,07/07,--,2.300,null,48
IMP FIAT,FREEMONT PRECISIO,11/12,--,2.300,null,21
FIAT,UNO VIVACE 1.0,12/13,--,2.360,null,21
SCANIA,T112 H,83/83,R$ 26.500,5.460,null,0
SR,GUERRA AG GR C ABERTA,14/15,R$ 50.000,5.460,null,0
GM,MERIVA,04/04,--,2.360,null,23
IMP VW,BORA,01/01,--,2.360,null,59
M BENZ,LS 1630,97/97,R$ 43.000,5.460,null,39
IMP CITROEN,C4 PALLAS 20 GAF,10/10,--,2.360,null,13
VW,GOL 1.0,07/08,--,2.360,null,59
IMP CITROEN,C4 PALLAS 20 GAF,08/09,--,2.360,null,13
PEUGEOT,207 PASSION XS A,09/10,--,2.360,null,44
VW,NOVO GOL 1.0 TRACK,13/14,--,2.300,null,59
CHEVROLET,ONIX 1.4 MT LTZ,13/14,--,2.300,null,23
FIAT,UNO VIVACE 1.0,14/15,--,2.300,null,21
GM,CORSA HATCH PREMIUM,09/10,--,2.300,null,23
HYUNDAI,HB20 1.0M UNIQUE,18/19,--,2.300,null,26
IMP LR,R.R SPT 3.0 TD SE,13/14,--,2.300,null,33
IMP M BENZ,313 CDI SPRINTERF FURGAO,08/09,--,2.300,null,39
CITROEN,C3 90M TENDANCE,12/13,--,2.300,null,13
IMP VW,JETTA,07/07,--,2.300,null,59
RENAULT,SANDERO AUT 10 16V,11/12,--,2.300,null,48
VW,PARATI 1.6,08/09,--,2.300,null,59
RENAULT,SANDERO EXP 10 16V,10/11,--,2.300,null,48
PEUGEOT,207 PASSION XR S,08/09,--,2.300,null,44
VW,NOVO VOYAGE TL MBV,18/18,R$ 20.000,2.300,null,59
CITROEN,C3 GLX 16 FLEX,06/06,--,2.300,null,13
FORD,ECOSPORT XLS 1.6L,05/05,--,2.300,null,22
GM,VECTRA SEDAN ELEGANCE,09/09,--,2.300,null,23
CITROEN,C3 XTR 14 FLEX,08/08,--,2.300,null,13
IMP RENAULT,CLIO CAM 10 H 3P,09/10,--,2.300,null,48
IMP VW,SPACEFOX SPORT G II,10/11,--,2.300,null,59
IMP VW,JETTA RL AF,18/19,--,2.300,null,59
CHEV,ONIX 10T MT LT1,20/20,--,2.300,null,23
SR,RANDON SR CA C ABERTA,06/07,--,5.400,null,0
R,RANDON RE DL DOLLY,06/07,--,0,null,161
SR,RANDON SR CA C ABERTA,06/07,--,0,null,0
FORD,CARGO 1933 TL CABINE ESTENDIDA,12/13,--,5.400,null,22
